source,path,source_sha256,source_bytes,duplicate,committed_sha256
workspace/outputs/recovered-evidence/research2/F01-drive-sim-mechanics.md,research/advanced-methods-and-github/F01-drive-sim-mechanics.md,c39db135b464edddb84266b403fa2c242752e6465a9635d8e62836aebe79be9e,21766,False,c39db135b464edddb84266b403fa2c242752e6465a9635d8e62836aebe79be9e
workspace/outputs/recovered-evidence/research2/F02-forecast-combination.md,research/advanced-methods-and-github/F02-forecast-combination.md,5d32fe1c8dcaa04816c068bad401563b07904df87300dba25fbecd57f420dbb7,13541,False,5d32fe1c8dcaa04816c068bad401563b07904df87300dba25fbecd57f420dbb7
workspace/outputs/recovered-evidence/research2/F03-devig-methods.md,research/advanced-methods-and-github/F03-devig-methods.md,57d892f1af4243d05496573e9bf027a6038033ad61e8c1df0a58fea43a827658,12063,False,57d892f1af4243d05496573e9bf027a6038033ad61e8c1df0a58fea43a827658
workspace/outputs/recovered-evidence/research2/F04-clv-unification.md,research/advanced-methods-and-github/F04-clv-unification.md,266d3094d18abe710919002bd07b69c170c35abca4cf144afcec61a5b3431ad1,16891,False,266d3094d18abe710919002bd07b69c170c35abca4cf144afcec61a5b3431ad1
workspace/outputs/recovered-evidence/research2/F05-bitemporal-pit.md,research/advanced-methods-and-github/F05-bitemporal-pit.md,060a83ada832097adf71b512c71ac7593b34d5ad609f4a056a0af5c208285c87,16818,False,060a83ada832097adf71b512c71ac7593b34d5ad609f4a056a0af5c208285c87
workspace/outputs/recovered-evidence/research2/F06-trial-registry-multiplicity.md,research/advanced-methods-and-github/F06-trial-registry-multiplicity.md,39417cae8fcfcb36cff49a6569b938e28e10a9a22f4f53cd31f019a1c53c168b,15029,False,39417cae8fcfcb36cff49a6569b938e28e10a9a22f4f53cd31f019a1c53c168b
workspace/outputs/recovered-evidence/research2/F07-sequential-inference-fix.md,research/advanced-methods-and-github/F07-sequential-inference-fix.md,f0981be0b8bf4ddcd0db035bb5c5b37958d679902902cc4095eeb7dcc039286c,19691,False,f0981be0b8bf4ddcd0db035bb5c5b37958d679902902cc4095eeb7dcc039286c
workspace/outputs/recovered-evidence/research2/F08-bayesian-state-space-ratings.md,research/advanced-methods-and-github/F08-bayesian-state-space-ratings.md,b3ed4d2f28f4fe3dec6176fa5acd68b50989fcae6ce3666171a2f43608981572,17739,False,b3ed4d2f28f4fe3dec6176fa5acd68b50989fcae6ce3666171a2f43608981572
workspace/outputs/recovered-evidence/research2/F09-hierarchical-prop-distributions.md,research/advanced-methods-and-github/F09-hierarchical-prop-distributions.md,efb60b2b4bc13d754f96512234bdd74383d9190661efa273406cfe72709968e4,16992,False,efb60b2b4bc13d754f96512234bdd74383d9190661efa273406cfe72709968e4
workspace/outputs/recovered-evidence/research2/F10-copula-correlation.md,research/advanced-methods-and-github/F10-copula-correlation.md,0f2901f4e3fdeb9fde41147e4407b02488694e2f340353d05aae89de08b00db4,18335,False,0f2901f4e3fdeb9fde41147e4407b02488694e2f340353d05aae89de08b00db4
workspace/outputs/recovered-evidence/research2/F11-conformal-calibration.md,research/advanced-methods-and-github/F11-conformal-calibration.md,3713f32a0ac818164eb1fe73a234283acbda298beccf4c00f69775fd012b48f9,18026,False,3713f32a0ac818164eb1fe73a234283acbda298beccf4c00f69775fd012b48f9
workspace/outputs/recovered-evidence/research2/F12-cold-start-transfer.md,research/advanced-methods-and-github/F12-cold-start-transfer.md,356db064a81dc47c8931239f4cbc130882ca6b2ea45f500bbbd7a693daf272d1,8600,False,356db064a81dc47c8931239f4cbc130882ca6b2ea45f500bbbd7a693daf272d1
workspace/outputs/recovered-evidence/research2/F13-causal-news-impact.md,research/advanced-methods-and-github/F13-causal-news-impact.md,be30c996f5a34b67f31fe4c331963e25ca05585a9974c104a236a6d945d6e1e4,34287,False,be30c996f5a34b67f31fe4c331963e25ca05585a9974c104a236a6d945d6e1e4
workspace/outputs/recovered-evidence/research2/F14-entity-resolution-game-keys.md,research/advanced-methods-and-github/F14-entity-resolution-game-keys.md,915ec28d7b5f1e09801b66099c020c17c8fd8614508fbc6fa0790840daf3e3aa,13957,False,915ec28d7b5f1e09801b66099c020c17c8fd8614508fbc6fa0790840daf3e3aa
workspace/outputs/recovered-evidence/research2/F15-team-strength-shrinkage.md,research/advanced-methods-and-github/F15-team-strength-shrinkage.md,d0032fb955540a91ce5fda4a4d78ea1d2b7071ea29f5afa85fd2b9a05c498662,13999,False,d0032fb955540a91ce5fda4a4d78ea1d2b7071ea29f5afa85fd2b9a05c498662
workspace/outputs/recovered-evidence/research2/F16-dfp-devig-favorite-longshot.md,research/advanced-methods-and-github/F16-dfp-devig-favorite-longshot.md,6b53122841f4c1a0dffe683cb1096b6e5e768b0b8e13d368e4d4cdc3182a056e,13316,False,6b53122841f4c1a0dffe683cb1096b6e5e768b0b8e13d368e4d4cdc3182a056e
